755 0.063  0.0142  0.071   0.97 0.085  0.0506  0.032  3.12 0.071  0.0097  0.166  0.42 
756 0.055  0.0136  0.073   0.77 0.050  0.0120  0.207  5.90 0.062  0.0214  0.083  0.14 
757 0.066  0.0207  0.050   2.09 0.052  0.0157  0.058  1.52 0.080  0.0161  0.079  0.96 
758 0.060  0.0208  0.071   1.07 0.054  0.0216  0.071  0.97 0.072  0.0177  0.065  1.46 
759 0.071  0.0313  0.049   2.30 0.056  0.0244  0.058  1.74 0.072  0.0185  0.075  0.99 
760 0.056  0.0184  0.080   0.38 0.061  0.0248  0.057  1.83 0.064  0.0240  0.092  5.53 
761 0.057  0.0188  0.077   0.79 0.050  0.0134  0.072  0.77 0.067  0.0271  0.082  0.68 
762 0.053  0.0300  0.088   0.99 0.128  0.1101  0.031  3.33 0.078  0.0245  0.083  1.26 
763 0.075  0.0529  0.043   2.83 0.038  0.0184  0.086  1.02 0.058  0.0277  0.084  0.71 
764 0.052  0.0206  0.079   1.00 0.040  0.0146  0.077  1.04 0.103  0.0654  0.042  2.70 
765 0.052  0.0154  0.066   1.16 0.046  0.0178  0.062  1.21 0.056  0.0121  0.191  5.54 
766 0.039  0.0122  0.500   1.59 0.038  0.0146  0.117  3.98 0.047  0.0084  0.374  4.35 
767 0.030  0.0133  0.135   6.09 0.025  0.0123  0.138  6.02 0.042  0.0097  0.123  0.01 
768 0.161  0.1650  0.095   4.57 0.212  0.1283  0.346  3.77 0.380  0.4912  0.120  3.22 
769 0.306  0.0845  0.167   5.32 0.391  0.2354  0.367  0.30 0.410  0.1690  0.399  1.51 
770 0.052  0.0566  0.039   0.73 0.107  0.1324  0.440  3.90 0.096  0.0336  0.163  6.07 
771 0.049  0.0443  0.046   0.28 -0.005  0.0899  0.026  0.83 0.073  0.0357  0.065  5.91 
772 0.050  0.0228  0.199   3.67 0.042  0.0233  0.198  3.66 0.077  0.0243  0.062  0.98 
773 -0.171  0.5220  0.002   2.63 0.032  0.0294  0.029  1.28 0.076  0.0338  0.057  1.10 
774 0.056  0.0256  0.057   1.08 0.046  0.0229  0.056  1.10 0.075  0.0282  0.057  1.49 
775 0.063  0.0267  0.054   1.09 0.055  0.0253  0.054  1.23 0.075  0.0235  0.060  0.55 
776 0.059  0.0072  0.203   3.19 0.047  0.0083  0.187  3.02 0.081  0.0140  0.061  0.59 
777 0.077  0.0252  0.051   2.16 0.070  0.0279  0.052  2.11 0.080  0.0169  0.181  6.12 
778 0.044  0.0160  0.051   0.12 0.041  0.0091  0.158  4.20 -0.087  0.6028  0.002  2.79 
